Bug Category,Count
Category Cluster 13,910
Category Cluster 8,914
Category Cluster 3,873
Category Cluster 15,4704
Category Cluster 16,1359
Category Cluster 30,764
Category Cluster 1,259
Category Cluster 25,781
Category Cluster 21,1353
Category Cluster 11,214
Category Cluster 5,1002
Category Cluster 10,412
Category Cluster 17,122
Category Cluster 23,909
Category Cluster 9,654
Category Cluster 7,326
Category Cluster 18,283
Category Cluster 28,587
Category Cluster 29,669
Category Cluster 6,543
Category Cluster 26,587
Category Cluster 27,573
Category Cluster 20,346
Category Cluster 14,432
Category Cluster 22,4173
Category Cluster 4,1314
Category Cluster 12,706
Category Cluster 24,203
Category Cluster 19,180
Category Cluster 2,32
Total Classified Issues,26184
